temp_c,humidity,pressure_mb,wind_kph,precip_mm,latitude,longitude,depth_km,magnitude,final_label
-4.6,66.0,1039.1,15.8,2.8,52.6226,160.6475,24.27,4.6,1
10.5,77.0,990.2,18.7,14.4,49.8497,157.0971,24.164,4.3,2
29.0,39.0,1044.2,9.7,12.4,51.1324,159.1921,29.392,4.4,2
38.0,100.0,1006.5,23.8,4.6,49.9205,158.6058,10.0,4.7,2
29.9,88.0,1049.0,9.3,17.6,1.0741,125.5414,79.622,4.5,2
16.2,20.0,1018.1,9.4,6.8,19.4536,-67.603,48.0,3.69,1
2.7,30.0,989.7,72.6,16.9,18.6918333333333,-64.6383333333333,39.29,3.43,2
-0.3,96.0,951.4,46.4,14.0,49.8856,157.4616,36.287,4.5,2
39.3,66.0,1015.3,17.5,11.8,51.2307,159.2636,10.0,4.8,2
12.1,98.0,992.0,96.3,10.2,50.763,158.9827,10.0,4.1,2
39.9,77.0,955.9,69.4,6.8,9.3633,93.9614,40.127,5.0,1
5.5,20.0,1030.0,18.0,2.7,41.1513,-116.7167,8.8,3.8,0
36.1,34.0,960.1,22.8,12.5,41.5696666666667,-109.876833333333,-2.36,3.45,2
-3.1,46.0,951.5,78.4,0.3,51.1096,160.5884,10.0,4.5,2
35.1,53.0,997.5,13.5,4.2,30.3359,138.4046,437.673,4.2,1
-1.5,30.0,1019.6,17.0,2.4,52.7441,160.782,10.0,4.3,2
19.2,89.0,964.2,22.2,17.4,-15.0853,167.4736,144.812,4.6,2
21.5,46.0,1048.3,82.1,8.2,52.7049,161.0783,10.0,4.3,2
8.6,80.0,1016.1,67.8,11.7,52.5156,159.8156,76.429,4.3,2
5.6,100.0,1026.4,89.6,6.1,49.2429,156.3237,36.446,4.9,2
25.5,96.0,1009.8,58.6,13.5,51.4556,159.7189,13.929,5.1,2
4.9,47.0,1009.0,44.7,14.6,9.3593,93.9247,10.0,4.9,2
37.4,62.0,979.7,79.1,13.5,51.2368,159.3362,10.0,4.5,2
22.4,51.0,952.6,5.0,10.0,-47.8695,116.1014,10.0,4.8,2
16.5,22.0,1029.9,14.4,1.0,-3.8899,128.6862,59.38,4.7,1
27.4,43.0,965.1,31.7,15.3,49.9934,155.9103,75.469,4.9,2
2.9,82.0,1048.6,1.3,19.5,54.5525,-159.8968,35.0,3.1,2
7.8,49.0,1002.2,94.9,13.2,-4.6179,104.723,195.476,4.9,2
-1.3,92.0,966.0,45.9,14.6,-58.1669,-25.5017,35.0,4.4,2
5.4,78.0,966.0,97.6,7.9,60.8603,-138.3218,10.0,3.5,2
30.6,20.0,1037.5,33.5,6.4,-20.8541,-178.4008,565.849,4.2,1
2.3,93.0,1019.9,42.3,6.3,49.3919,160.0361,10.0,6.1,2
8.9,39.0,1041.3,93.6,7.0,2.5521,67.763,10.0,4.3,2
22.6,34.0,1044.6,95.2,14.9,29.3557,129.3426,10.0,4.8,2
-4.0,76.0,1022.4,9.2,2.9,51.0072,159.2361,20.95,4.5,1
36.7,60.0,957.5,81.8,7.5,52.4386,160.6506,10.0,4.4,2
24.3,86.0,1020.3,70.3,10.7,52.919,160.6041,35.0,4.3,2
11.8,54.0,983.5,81.5,5.8,-18.9684,167.5432,10.0,4.9,2
8.4,51.0,976.1,75.1,18.1,-5.8614,150.091,78.12,4.3,2
19.7,28.0,989.0,99.8,11.7,51.8396,158.7165,60.623,4.2,1
15.9,67.0,1011.7,27.4,6.1,59.1819,-137.1433,11.39,3.2,1
18.6,96.0,980.0,54.3,0.1,54.495,-160.1118,36.433,3.4,2
31.6,33.0,1010.8,87.7,17.7,52.4012,160.6787,35.0,5.2,2
19.9,47.0,1034.4,88.5,13.3,52.3776,-169.5462,35.0,4.4,2
29.4,24.0,982.1,55.9,15.9,-26.8602,-71.2033,19.511,4.1,2
29.4,86.0,987.2,87.9,8.9,52.8555,160.7567,10.0,4.5,2
23.8,68.0,982.7,76.7,13.6,51.6042,159.9212,10.0,4.0,2
