temp_c,humidity,pressure_mb,wind_kph,precip_mm,label
-2.1,22,1039.8,13.5,4.3,0
16.0,98,1022.9,27.3,11.7,2
23.0,84,977.2,61.8,12.6,2
9.1,87,1048.7,38.1,8.9,1
31.3,91,1028.3,95.2,6.8,2
2.4,77,1048.4,1.8,4.4,0
32.9,98,1018.1,33.6,10.6,2
19.6,25,950.9,67.3,7.6,2
37.3,40,975.7,82.2,18.4,2
15.2,90,1038.7,38.9,16.3,2
24.3,98,1028.5,15.6,2.4,1
13.7,92,1024.5,4.8,8.4,1
26.9,99,1043.4,64.3,5.2,2
15.2,82,963.7,61.4,7.0,2
25.7,65,1045.0,15.4,10.1,2
22.2,25,1021.7,44.7,10.2,2
20.9,57,997.6,52.9,0.4,2
32.6,50,959.8,28.3,19.6,2
28.5,87,955.2,96.3,14.8,2
19.2,20,1035.1,69.9,5.2,2
37.0,32,1033.0,46.5,12.4,2
6.1,81,1002.6,83.7,17.2,2
0.7,51,953.4,54.4,17.2,2
38.7,99,1019.7,59.1,4.0,2
10.6,95,997.6,36.9,15.1,2
11.8,77,1021.6,36.8,11.8,2
-0.3,55,956.5,73.2,7.7,2
4.3,82,1020.4,46.2,12.2,2
10.9,62,988.6,44.2,5.0,1
19.9,88,953.4,93.9,11.0,2
21.5,83,1039.6,21.3,19.4,2
26.9,29,984.6,35.8,12.8,2
2.3,23,987.7,99.1,18.4,2
7.3,53,1006.9,44.9,15.3,2
11.9,23,1015.7,74.2,4.4,2
18.6,96,980.0,54.3,0.1,2
5.7,65,1015.4,58.5,0.4,2
19.2,31,1023.7,2.6,1.0,0
22.3,37,986.8,71.7,13.8,2
29.4,86,987.2,87.9,8.9,2
31.3,59,1024.9,83.8,18.3,2
29.0,52,976.1,92.4,1.3,2
9.9,40,1012.9,32.5,15.9,2
-2.8,100,1014.9,1.7,8.8,1
-3.2,84,959.4,21.8,9.4,1
12.7,99,987.8,4.2,9.8,1
-0.7,61,995.8,70.6,19.9,2
19.4,96,968.8,12.6,0.2,1
31.0,83,987.6,12.5,1.2,0
35.4,32,992.4,94.3,0.8,2
27.9,22,1037.4,94.8,2.8,2
15.0,52,968.7,16.5,6.5,2
0.9,32,993.5,81.0,11.7,2
34.9,44,992.1,96.0,14.5,2
25.5,84,954.4,30.1,4.4,0
38.4,98,972.1,12.1,19.1,2
29.8,100,1049.0,65.1,16.4,2
27.3,57,953.3,24.3,1.0,0
37.4,34,1000.1,67.0,12.6,2
14.6,44,956.1,57.2,6.7,2
21.6,24,982.5,47.2,19.2,2
21.0,64,993.5,29.4,12.0,2
25.5,28,954.8,92.9,9.6,2
9.2,78,951.9,65.8,7.1,2
20.7,31,992.2,65.5,14.6,2
26.8,31,1047.6,80.9,6.1,2
35.7,25,998.5,74.9,0.2,2
6.4,98,1028.5,52.4,4.2,2
35.1,93,1016.6,49.6,12.1,2
25.2,51,996.2,43.8,16.8,2
31.9,36,1038.9,92.1,0.6,2
21.8,30,1038.8,91.8,6.9,2
-4.0,36,1025.2,73.2,9.1,2
0.0,64,1045.4,37.9,15.5,2
14.4,86,966.0,25.5,14.9,1
24.9,62,969.4,38.8,19.3,2
38.6,81,1015.4,83.3,4.6,2
26.7,88,1009.2,75.7,14.6,2
12.1,46,961.3,29.7,14.7,0
30.5,100,1013.2,54.1,5.6,2
1.4,29,1033.9,77.1,5.6,2
13.0,59,1021.5,4.2,12.6,2
31.6,94,1046.1,41.0,17.9,2
31.5,91,955.7,70.4,2.6,2
26.8,59,1014.8,56.8,5.7,2
17.9,68,963.4,18.8,2.1,0
14.9,80,1006.1,42.9,14.3,2
20.8,80,978.9,97.7,2.4,0
1.9,27,988.3,90.2,6.9,2
-3.6,28,1016.2,85.0,7.9,2
37.8,50,991.4,13.9,11.7,2
12.0,98,1027.5,19.4,1.8,1
32.5,44,987.2,49.4,7.0,1
38.5,89,955.6,92.6,14.4,2
32.5,26,1049.4,17.6,2.0,2
13.7,47,1041.0,7.5,2.4,0
10.7,25,978.1,3.0,19.4,2
11.7,32,975.3,6.1,10.8,2
35.7,25,955.4,18.5,13.8,2
1.8,27,1003.2,32.3,8.4,1
3.1,36,1023.8,86.7,16.1,2
31.7,56,967.3,61.8,4.4,2
6.0,75,1049.5,37.3,4.5,1
30.3,95,973.7,50.5,11.7,2
5.3,65,958.7,35.4,15.5,2
17.1,47,968.0,13.0,10.0,1
36.0,36,1009.7,44.2,12.4,2
12.2,81,985.2,92.1,6.5,2
5.1,90,950.7,1.7,5.5,1
18.8,70,977.8,48.6,14.1,2
16.6,83,990.2,38.5,0.2,1
13.9,100,990.6,93.9,6.2,0
11.7,67,1032.0,77.4,5.9,2
